Sample,Image_tag,image_path,Prediction,Confidence
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0100).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0100).png",a2c,0.819
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0101).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0101).png",a2c,0.877
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0102).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0102).png",a2c,0.864
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0103).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0103).png",a2c,0.712
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0301).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0301).png",a2c,0.622
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 2110).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 2110).png",a2c,0.715
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 2112).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 2112).png",a2c,0.747
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 2114).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 2114).png",a2c,0.730
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0040, 0244).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0040, 0244).png",a2c,0.625
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0040, 0245).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0040, 0245).png",a2c,0.462
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0040, 0253).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0040, 0253).png",a2c,0.857
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0040, 0254).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0040, 0254).png",a2c,0.738
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0040, 0280).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0040, 0280).png",a2c,0.503
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(2001, 0010).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(2001, 0010).png",a2c,0.793
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(2001, 1063).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(2001, 1063).png",a2c,0.881
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(200d, 0020).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(200d, 0020).png",a2c,0.661
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(200d, 0024).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(200d, 0024).png",a2c,0.727
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(200d, 0026).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(200d, 0026).png",a2c,0.655
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(200d, 0030).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(200d, 0030).png",a2c,0.847
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(200d, 0039).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(200d, 0039).png",a2c,0.576
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(200d, 003a).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(200d, 003a).png",a2c,0.869
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(200d, 0051).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(200d, 0051).png",a2c,0.894
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(200d, 2005).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(200d, 2005).png",a2c,0.937
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(200d, 2407).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(200d, 2407).png",a2c,0.878
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(200d, 2637).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(200d, 2637).png",a2c,0.886
